design ID,vessel ID,site ID,site desig,catalog #,museum,diameter,height,circumf,weight,proven,feature,room #,level,form,condit,paint,type,vessel comments,design #,design loc,design orient,rim design,width,width field,repeats,color,cont line,neg/pos,line break,motifs alt,outline/fill,panels,Figurative,Framing lines,Design code,pattern cat,sym struc,sym design,design comments,band color
1,1,5,NA1019,243/28,mna,215,90,0,0,,,11,fill,bowl,partial,mineral,Sikyatki Poly,sample from base,A,int center,allover,plain,0,0,1,B&R/Y,1,0,1,0,1,0,0,thick,line solid,finite,D2,C2,,colored
2,1,5,NA1019,243/28,mna,215,90,0,0,,,11,fill,bowl,partial,mineral,Sikyatki Poly,sample from base,B,ext sh body,parallel to rim,plain,80,0,2,B/Y,1,0,0,0,1,0,0,none,line solid,oneD,p111,p111,,1-color
3,2,5,NA1019,243/2,mna,95,110,0,400,,,,,mug,whole,mineral,Tusayan B/W,,A,ext body,parallel to rim,plain,15,0,14,B/W,1,1,0,0,1,0,0,thin thick,solid,oneD,pmm2,pmm2,,1-color
4,2,5,NA1019,243/2,mna,95,110,0,400,,,,,mug,whole,mineral,Tusayan B/W,,B,ext body,parallel to rim,plain,20,0,25,B/W,1,1,0,0,1,0,0,thin thick,solid,oneD,pmm2,pmm2,,1-color
5,3,5,NA1019,243/3a,mna,260,140,0,0,,,,,bowl,partial,mineral,Kintiel B/O,,A,int wall,parallel to rim,plain,30,0,0,B/O,1,0,0,0,0,0,0,thick,line solid,oneD,pmm2,pmm2,mosquito bar,1-color
6,3,5,NA1019,243/3a,mna,260,140,0,0,,,,,bowl,partial,mineral,Kintiel B/O,,B,int wall,slanted to rim,plain,40,0,,B/O,0,0,0,0,1,0,0,thick,line solid,oneD,p111,p111,mosquito bar,1-color
7,4,5,NA1019,243/4,mna,260,110,0,0,,,,,bowl,rsherd,mineral,Jeddito B/O,,A,int wall,pendant from rim,plain,150,0,2,B/O,0,0,0,0,1,0,0,thick,solid line hatched,finite,C2,C2,trans betw pat cat,colored
8,5,5,NA1019,243/5,mna,280,150,0,0,,,,,bowl,partial,mineral,Jeddito B/O,,A,int wall,slanted to rim,plain,120,0,4,B/O,1,0,1,0,0,0,0,thick,line solid crosshatc,oneD,p112,p112',fillers vary,2-color
9,6,5,NA1019,243/6,mna,100,60,0,295,,,,,ladle,whole,mineral,Jeddito B/O,,A,int wall,parallel to rim,plain,20,0,0,B/O,0,0,0,0,0,0,0,thick,line,oneD,p111,p111,,1-color
11,7,5,NA1019,243/7,mna,255,110,0,0,,,,,bowl,whole,mineral,Jeddito B/O,,A,int wall,parallel to rim,plain,100,0,3,B/O,0,0,1,1,1,0,0,thick,solid line hatched,oneD,pmm2,p112,Upper Gila like,colored
12,8,5,NA1019,243/8,mna,275,130,0,1035,,,,,bowl,whole,mineral,Jeddito B/O,,A,int wall,parallel to rim,plain,100,200,3,B/O,1,0,1,1,1,0,0,thick,solid line hatched,oneD,pmm2,p112,Upper Gila like,colored
13,9,5,NA1019,243/9,mna,250,110,0,0,room,,11,,bowl,partial,mineral,Jeddito B/O,,A,int wall,parallel to rim,plain,100,0,0,B/O,0,0,1,1,1,0,0,thick,solid line hatched,oneD,pmm2,p112,Upper Gila like,colored
14,9,5,NA1019,243/9,mna,250,110,0,0,room,,11,,bowl,partial,mineral,Jeddito B/O,,B,ext below rim,parallel to rim,plain,40,0,0,W/R,0,0,0,0,0,0,0,none,line,oneD,pm11,pm11,,1-color
15,10,5,NA1019,243/10,mna,180,80,0,0,,,,,bowl,whole,mineral,Jeddito B/O,,A,int wall,parallel to rim,plain,40,0,0,B/O,0,0,0,1,0,0,0,thick,line solid,oneD,p111,p111,,1-color
16,11,5,NA1019,243/13,mna,70,0,0,0,room,,14,,jar,partial,mineral,Jeddito B/W,,A,ext neck,slanted to rim,"unknown""",10,0,13,B/W,0,0,0,0,0,0,0,thick,solid,oneD,p112,p112,,1-color
17,11,5,NA1019,243/13,mna,70,0,0,0,room,,14,,jar,partial,mineral,Jeddito B/W,,B,ext sh body,parallel to rim,,0,0,0,B/W,0,0,0,0,0,0,0,thick,line solid,oneD,p112,p112,,1-color
18,12,5,NA1019,243/14,mna,70,90,0,0,room,,14,,mug,partial,mineral,Puerco B/W,,A,ext body,parallel to rim,plain,50,0,0,B/W,1,0,0,0,1,0,0,thick,line solid,oneD,p112,p112,,1-color
19,13,5,NA1019,243/15,mna,80,70,0,0,room,,14,,mug,rsherd,mineral,Pinedale B/W,,A,ext body,parallel to rim,plain,23,0,0,B/W,1,0,0,0,0,0,0,thin thick,solid,oneD,p112,p112,,1-color
20,14,5,NA1019,243/25,mna,200,85,0,0,trash,,0,,bowl,whole,mineral,Jeddito B/Y,sample from base,A,int wall,parallel to rim,plain,0,0,4,B/Y,0,0,1,0,1,0,0,thin,line solid dot,oneD,p112,p112,,1-color
21,14,5,NA1019,243/25,mna,200,85,0,0,trash,,0,,bowl,whole,mineral,Jeddito B/Y,sample from base,B,ext below rim,parallel to rim,plain,60,0,0,B/Y,0,0,0,0,0,0,0,none,line,finite,C1,C1,,1-color
22,15,5,NA1019,243/26,mna,145,70,0,0,trash,,0,,bowl,whole,mineral,Jeddito B/Y,sample from base,A,int wall,allover,plain,0,0,1,B/Y,1,0,0,0,1,0,0,thick,line solid,finite,D4,C2,,1-color
23,15,5,NA1019,243/26,mna,145,70,0,0,trash,,0,,bowl,whole,mineral,Jeddito B/Y,sample from base,B,ext below rim,parallel to rim,plain,23,0,4,B/Y,1,0,0,0,0,0,0,none,line solid,oneD,p111,p111,,1-color
24,16,5,NA1019,243/28a,mna,125,0,0,0,,,0,,jar,partial,mineral,Jeddito B/Y,sample from base,A,ext sh,parallel to rim,plain,90,0,6,B/Y,0,0,1,0,1,0,0,thick,solid,oneD,p111,p111,,1-color
25,17,5,NA1019,243/29,mna,120,70,0,0,,,0,,bowl,whole,mineral,Jeddito B/O,,A,int wall,parallel to rim,plain,25,0,12,B/O,0,0,0,0,1,0,0,thin thick,solid,oneD,p112,p112,,1-color
26,18,5,NA1019,243/307,mna,145,60,0,315,,,0,,bowl,whole,mineral,Sikyatki Poly,sample from base,A,int center,allover,plain,0,0,1,B&O/Y,1,0,1,0,1,0,0,thin,solid,finite,D1,D1,,colored
27,18,5,NA1019,243/307,mna,145,60,0,315,,,0,,bowl,whole,mineral,Sikyatki Poly,sample from base,B,ext below rim,parallel to rim,plain,20,0,1,B/Y,0,0,0,0,0,0,0,none,solid,finite,C1,C1,,1-color
28,19,430,NA820,39055,up,850,145,640,0,,,0,,jar,whole,mineral,Sikyatki Poly,,A,ext sh body,parallel to rim,plain,0,0,2,B&O/Y,0,0,1,1,1,0,0,thick,solid,oneD,p111,p111,,colored
29,20,4,NA820,39034,up,210,75,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,A,int center,allover,plain,0,0,1,B/Y,0,0,1,0,0,0,0,thick,line solid crosshatc,finite,C2,C2,,colored
30,20,4,NA820,39034,up,210,75,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,B,ext below rim,parallel to rim,plain,55,150,1,B/Y,0,0,0,0,0,0,0,none,line solid,finite,C1,C1,,1-color
31,21,4,NA820,39016,up,90,80,485,0,,,0,,jar,whole,mineral,Jeddito B/O,,A,ext body,parallel to rim,ticked,30,150,6,B/O,0,0,1,0,1,0,0,thin,solid hatched,oneD,p111,asym,motifs vary,colored
32,22,4,NA820,39030,up,205,95,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,A,int center,allover,plain,0,0,1,B/Y,0,0,1,0,0,0,0,thin,line solid,finite,D2,D2,,1-color
33,23,4,NA820,39013,up,100,45,0,0,,,0,,cup,whole,mineral,Jeddito B/Y,,A,int center,allover,ticked,0,0,1,B/Y,0,0,0,0,0,0,0,none,line solid dot,finite,D2,C2,,1-color
34,24,4,NA820,39029,up,190,80,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,A,int wall,allover,plain,0,0,4,B/Y,0,0,1,0,0,1,0,thick,line solid,finite,C4,C4,motifs vary,1-color
35,24,4,NA820,39029,up,190,80,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,B,ext below rim,slanted to rim,plain,50,150,2,B/Y,0,0,0,0,0,0,0,none,line,finite,C2,C2,,1-color
36,25,4,NA829,39018,up,85,110,560,0,,,0,,jar,whole,mineral,Jeddito B/Y,,A,ext sh,parallel to rim,plain,45,170,5,B/Y,0,0,1,0,0,0,0,thick,solid,oneD,p111,p111,,1-color
37,26,4,NA820,39020,up,165,70,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,A,int center,allover,plain,0,0,2,B/Y,0,0,1,0,1,0,0,thick,line solid crosshatc,finite,C2,C2,,colored
38,27,4,NA820,39024,up,200,100,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,A,int center,allover,plain,0,0,2,B/Y,1,0,1,0,1,0,0,thick,line solid,finite,C2,C2,,1-color
39,27,4,NA820,39024,up,200,100,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,B,ext below rim,parallel to rim,plain,55,150,2,B/Y,0,0,0,0,0,0,0,none,line,finite,C2,C2,,1-color
40,28,4,NA820,39004,up,70,40,0,0,,,0,,ladle,whole,mineral,Jeddito B/Y,,A,int center,allover,plain,0,0,2,B/Y,0,0,1,0,0,0,0,thick,solid,finite,C2,C2,,1-color
42,30,4,NA820,39026,up,160,75,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,A,int center,allover,plain,0,0,1,B/Y,0,0,1,0,0,0,0,thick,line solid,finite,D2,D2,,1-color
43,30,4,NA820,39026,up,160,75,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,B,ext below rim,parallel to rim,plain,40,140,1,B/Y,0,0,0,0,0,0,0,none,solid,finite,D1,D1,,1-color
44,31,6,NA1001,39045,up,205,85,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,A,int center,allover,plain,0,0,2,B/Y,0,0,1,0,1,0,0,thick,line solid,finite,C2,C2,motifs vary,1-color
45,31,6,NA1001,39045,up,205,85,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,B,ext below rim,parallel to rim,plain,20,170,1,B/Y,1,0,0,0,1,0,0,none,line solid,finite,C2,C2,,1-color
46,32,6,NA1001,39011,up,70,30,0,0,,,0,,scoop,whole,mineral,Jeddito B/Y,,A,int center,allover,ticked,0,0,2,B/Y,0,0,0,0,0,0,0,none,line dot,finite,D2,D2,,1-color
47,33,6,NA1001,39033,up,180,80,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,A,int center,allover,1,0,0,0,B/Y,1,0,1,0,1,0,0,thick,line solid crosshatc,finite,C1,C1,,1-color
48,33,6,NA1001,39033,up,180,80,0,0,,,0,,bowl,whole,mineral,Jeddito B/Y,,B,ext below rim,parallel to rim,plain,35,145,1,B/Y,0,0,0,0,1,0,0,none,solid,finite,C2,C2,,1-color
49,34,5,NA1019,76227,pm,190,75,0,0,,,0,,bowl,partial,mineral,Jeddito B/Y,,A,int center,allover,plain,0,0,1,B/Y,1,0,1,0,1,0,0,thick,line solid dot,finite,C2,C2,,1-color
50,34,5,NA1019,76227,pm,190,75,0,0,,,0,,bowl,partial,mineral,Jeddito B/Y,,B,ext below rim,parallel to rim,plain,20,160,2,B/Y,0,0,0,0,0,0,0,none,line,finite,D1,D1,,1-color
51,35,5,NA1019,76229,pm,180,85,0,0,,,0,,bowl,rsherd,mineral,Jeddito B/O,,A,int wall,parallel to rim,plain,20,160,0,B/O,1,0,1,0,0,0,0,thin thick,solid dot,oneD,p112,p112,,1-color
52,36,5,NA1019,76230,pm,235,130,0,0,,,0,,bowl,partial,mineral,Jeddito B/O,,A,int center,pendant from rim,plain,0,0,2,B/O,1,0,0,1,0,1,0,thick,line solid dot,finite,C4,C2,motifs vary,1-color
53,37,5,NA1019,76226,pm,215,90,0,0,,,0,,bowl,partial,mineral,Sikyatki Poly,,A,int center,allover,plain,0,0,2,B&R/Y,0,0,1,0,1,0,1,thick,line solid dot,finite,C2,C2,,colored
54,38,6,NA1001,21572,pm,225,105,0,0,W talus,,0,,bowl,whole,mineral,Sikyatki Poly,,A,int center,allover,plain,240,350,1,B&R/Y,0,1,1,0,1,0,1,thick,solid,finite,C1,C1,red not outlined,colored
55,38,6,NA1001,21572,pm,225,105,0,0,W talus,,0,,bowl,whole,mineral,Sikyatki Poly,,B,ext below rim,parallel to rim,plain,45,200,8,B/Y,0,0,0,0,0,0,0,none,line,oneD,p111,p111,,1-color
56,39,6,NA1001,21573,pm,210,80,0,0,W talus,,0,,bowl,whole,mineral,Sikyatki Poly,,A,int center,pendant from rim,plain,250,290,1,B&R/Y,0,1,0,0,1,0,0,none,solid,finite,D2,C2,,colored
57,39,6,NA1001,21573,pm,210,80,0,0,W talus,,0,,bowl,whole,mineral,Sikyatki Poly,,B,ext below rim,parallel to rim,plain,30,160,1,B/Y,0,0,0,0,1,0,0,none,solid,finite,C1,C1,,1-color
58,40,6,NA1001,21574,pm,200,75,0,0,W talus,,0,,bowl,whole,mineral,Payupki Poly,,A,int center,pendant from rim,plain,180,280,4,B&R/Y,1,0,1,0,1,1,0,thick,solid,finite,D4,asym,sym varies,1-color
59,40,6,NA1001,21574,pm,200,75,0,0,W talus,,0,,bowl,whole,mineral,Payupki Poly,,B,ext below rim,parallel to rim,plain,90,150,1,B/Y,0,0,0,0,1,0,0,none,solid,finite,D1,D1,,1-color
60,41,6,NA1001,18109,pm,200,90,0,0,trash,,0,,bowl,whole,mineral,Sikyatki Poly,,A,int center,allover,plain,190,290,1,B&O/Y,1,0,1,0,1,0,1,thick,line solid,finite,D1,D1,,1-color
61,41,6,NA1001,18109,pm,200,90,0,0,trash,,0,,bowl,whole,mineral,Sikyatki Poly,,B,ext below rim,parallel to rim,plain,65,170,1,B/Y,0,0,0,0,0,0,0,none,solid,finite,C1,C1,,1-color
62,42,6,NA1001,18113,pm,220,95,0,0,trash,,0,,bowl,whole,mineral,Sikyatki Poly,,A,int center,pendant from rim,plain,200,320,2,B/Y,0,0,1,0,1,0,0,thick,solid,finite,C2,C2,,1-color
63,42,6,NA1001,18113,pm,220,95,0,0,trash,,0,,bowl,whole,mineral,Sikyatki Poly,,B,ext below rim,parallel to rim,plain,0,0,1,B&R/Y,1,0,0,0,1,0,0,none,solid,finite,C1,C1,,colored
64,43,6,NA1001,18114,pm,200,90,0,0,trash,,0,,bowl,whole,mineral,Jeddito B/Y,,A,int center,allover,plain,190,320,4,B/Y,0,0,1,0,0,1,0,thick,solid,finite,D4,C2,,1-color
65,43,6,NA1001,18114,pm,200,90,0,0,trash,,0,,bowl,whole,mineral,Jeddito B/Y,,B,ext below rim,parallel to rim,plain,50,180,1,B/Y,0,0,0,0,1,0,0,none,solid,finite,C1,C1,,1-color
66,44,6,NA1001,18116,pm,200,95,0,0,trash,,0,,bowl,whole,mineral,Jeddito B/Y,,A,int center,pendant from rim,plain,170,320,2,B/Y,0,0,1,1,1,1,0,thick,solid,finite,D4,C2,,1-color
67,44,6,NA1001,18116,pm,200,95,0,0,trash,,0,,bowl,whole,mineral,Jeddito B/Y,,B,ext below rim,parallel to rim,plain,80,170,1,B/Y,0,0,0,0,0,0,0,none,solid,finite,C2,C2,,1-color
68,45,6,NA1001,12520,pm,110,150,810,0,trash,burial,0,,jar,whole,mineral,Sikyatki Poly,,A,ext body,parallel to rim,plain,40,280,2,B&R/Y,0,1,1,1,1,1,0,thick,line solid,oneD,pmm2,asym,trans betw pat cat,colored
69,46,6,NA1001,12527,pm,240,105,0,0,trash,burial,0,,bowl,whole,mineral,Sikyatki Poly,sample from base,A,int center,allover,plain,240,370,1,B&R/Y,1,0,1,0,1,0,1,thick,line solid,finite,C1,C1,,colored
70,46,6,NA1001,12527,pm,240,105,0,0,trash,burial,0,,bowl,whole,mineral,Sikyatki Poly,sample from base,B,ext below rim,parallel to rim,plain,50,210,1,B/Y,0,0,0,0,0,0,0,none,solid,finite,C2,C2,,1-color
71,47,6,NA1001,12529,pm,235,90,0,0,trash,burial,0,,bowl,whole,mineral,Sikyatki Poly,,A,int center,allover,plain,0,0,1,B&R/Y,1,0,1,0,1,0,1,thick,line solid crosshatc,finite,D2,C1,,colored
72,47,6,NA1001,12529,pm,235,90,0,0,trash,burial,0,,bowl,whole,mineral,Sikyatki Poly,,B,ext below rim,parallel to rim,plain,60,170,1,B/Y,0,0,0,0,1,0,0,none,line solid,finite,D1,D1,,1-color
73,48,6,NA1001,12550,pm,250,90,0,0,trash,,0,,bowl,partial,mineral,Sikyatki Poly,,A,int center,allover,plain,240,340,1,B&R/Y,0,0,1,0,1,0,1,thick,solid,finite,D2,D2,,colored
74,49,6,NA1001,12553,pm,90,130,555,0,W talus,,0,,jar,whole,mineral,Sikyatki Poly,,A,ext body,parallel to rim,plain,45,210,3,B&R/Y,0,0,1,0,1,1,0,thick,line solid dot,oneD,p112,p111,,colored
