design ID,site ID,vessel ID,catalog #,design #,design loc,design orient,rim design,color,cont line,neg/pos,line break,motifs alt,outline/fill,panels,Figurative,Framing Lines,Design code,pattern,sym struc,sym design,,,,,
1,5,1,243/28,A,int center,allover,plain,B&R/Y,1,0,1,0,1,0,0,thick,line solid,finite,D2,C2,,,,,
2,5,1,243/28,B,ext sh body,parallel to rim,plain,B/Y,1,0,0,0,1,0,0,none,line solid,oneD,p111,p111,,,,,
3,5,2,243/2,A,ext body,parallel to rim,plain,B/W,1,1,0,0,1,0,0,thin thick,solid,oneD,pmm2,pmm2,,,,,
4,5,2,243/2,B,ext body,parallel to rim,plain,B/W,1,1,0,0,1,0,0,thin thick,solid,oneD,pmm2,pmm2,,,,,
5,5,3,243/3a,A,int wall,parallel to rim,plain,B/O,1,0,0,0,0,0,0,thick,line solid,oneD,pmm2,pmm2,,,,,
6,5,3,243/3a,B,int wall,slanted to rim,plain,B/O,0,0,0,0,1,0,0,thick,line solid,oneD,p111,p111,,,,,
7,5,4,243/4,A,int wall,pendant from rim,plain,B/O,0,0,0,0,1,0,0,thick,solid line hatched,finite,C2,C2,,,,,
8,5,5,243/5,A,int wall,slanted to rim,plain,B/O,1,0,1,0,0,0,0,thick,line solid crosshatc,oneD,p112,p111,,,,,
9,5,6,243/6,A,int wall,parallel to rim,plain,B/O,0,0,0,0,0,0,0,thick,line,oneD,p111,p111,,,,,
11,5,7,243/7,A,int wall,parallel to rim,plain,B/O,0,0,1,1,1,0,0,thick,solid line hatched,oneD,pmm2,p112,,,,,
12,5,8,243/8,A,int wall,parallel to rim,plain,B/O,1,0,1,1,1,0,0,thick,solid line hatched,oneD,pmm2,p112,,,,,
13,5,9,243/9,A,int wall,parallel to rim,plain,B/O,0,0,1,1,1,0,0,thick,solid line hatched,oneD,pmm2,p112,,,,,
14,5,9,243/9,B,ext below rim,parallel to rim,plain,W/R,0,0,0,0,0,0,0,none,line,oneD,pm11,pm11,,,,,
15,5,10,243/10,A,int wall,parallel to rim,plain,B/O,0,0,0,1,0,0,0,thick,line solid,oneD,p111,p111,,,,,
16,5,11,243/13,A,ext neck,slanted to rim,unknown,B/W,0,0,0,0,0,0,0,thick,solid,oneD,p112,p112,,,,,
17,5,11,243/13,B,ext sh body,parallel to rim,,B/W,0,0,0,0,0,0,0,thick,line solid,oneD,p112,p112,,,,,
18,5,12,243/14,A,ext body,parallel to rim,plain,B/W,1,0,0,0,1,0,0,thick,line solid,oneD,p112,p112,,,,,
19,5,13,243/15,A,ext body,parallel to rim,plain,B/W,1,0,0,0,0,0,0,thin thick,solid,oneD,p112,p112,,,,,
20,5,14,243/25,A,int wall,parallel to rim,plain,B/Y,0,0,1,0,1,0,0,thin,line solid dot,oneD,p112,p112,,,,,
21,5,14,243/25,B,ext below rim,parallel to rim,plain,B/Y,0,0,0,0,0,0,0,none,line,finite,C1,C1,,,,,
22,5,15,243/26,A,int wall,allover,plain,B/Y,1,0,0,0,1,0,0,thick,line solid,finite,D4,C2,,,,,
23,5,15,243/26,B,ext below rim,parallel to rim,plain,B/Y,1,0,0,0,0,0,0,none,line solid,oneD,p111,p111,,,,,
24,5,16,243/28a,A,ext sh,parallel to rim,plain,B/Y,0,0,1,0,1,0,0,thick,solid,oneD,p111,p111,,,,,
25,5,17,243/29,A,int wall,parallel to rim,plain,B/O,0,0,0,0,1,0,0,thin thick,solid,oneD,p112,p112,,,,,
26,5,18,243/307,A,int center,allover,plain,B&O/Y,1,0,1,0,1,0,0,thin,solid,finite,D1,D1,,,,,
27,5,18,243/307,B,ext below rim,parallel to rim,plain,B/Y,0,0,0,0,0,0,0,none,solid,finite,C1,C1,,,,,
28,430,19,39055,A,ext sh body,parallel to rim,plain,B&O/Y,0,0,1,1,1,0,0,thick,solid,oneD,p111,p111,,,,,
29,4,20,39034,A,int center,allover,plain,B/Y,0,0,1,0,0,0,0,thick,line solid crosshatc,finite,C2,C2,,,,,
30,4,20,39034,B,ext below rim,parallel to rim,plain,B/Y,0,0,0,0,0,0,0,none,line solid,finite,C1,C1,,,,,
31,4,21,39016,A,ext body,parallel to rim,ticked,B/O,0,0,1,0,1,0,0,thin,solid hatched,oneD,p111,asym,,,,,
32,4,22,39030,A,int center,allover,plain,B/Y,0,0,1,0,0,0,0,thin,line solid,finite,D2,D2,,,,,
33,4,23,39013,A,int center,allover,ticked,B/Y,0,0,0,0,0,0,0,none,line solid dot,finite,D2,C2,,,,,
34,4,24,39029,A,int wall,allover,plain,B/Y,0,0,1,0,0,1,0,thick,line solid,finite,C4,C4,,,,,
35,4,24,39029,B,ext below rim,slanted to rim,plain,B/Y,0,0,0,0,0,0,0,none,line,finite,C2,C2,,,,,
36,4,25,39018,A,ext sh,parallel to rim,plain,B/Y,0,0,1,0,0,0,0,thick,solid,oneD,p111,p111,,,,,
37,4,26,39020,A,int center,allover,plain,B/Y,0,0,1,0,1,0,0,thick,line solid crosshatc,finite,C2,C2,,,,,
38,4,27,39024,A,int center,allover,plain,B/Y,1,0,1,0,1,0,0,thick,line solid,finite,C2,C2,,,,,
39,4,27,39024,B,ext below rim,parallel to rim,plain,B/Y,0,0,0,0,0,0,0,none,line,finite,C2,C2,,,,,
40,4,28,39004,A,int center,allover,plain,B/Y,0,0,1,0,0,0,0,thick,solid,finite,C2,C2,,,,,
42,4,30,39026,A,int center,allover,plain,B/Y,0,0,1,0,0,0,0,thick,line solid,finite,D2,D2,,,,,
43,4,30,39026,B,ext below rim,parallel to rim,plain,B/Y,0,0,0,0,0,0,0,none,solid,finite,D1,D1,,,,,
44,6,31,39045,A,int center,allover,plain,B/Y,0,0,1,0,1,0,0,thick,line solid,finite,C2,C2,,,,,
