site ID,site desig,site name,state/quad,UTM,UTM East,UTM North,Elevation,period,earliest,latest,mean date,Run I group,Run II group,Run III group,Run IV group,Run V group,latitude,longitude
3,NA1027,Bidahochi,AZJ12001,12,589540,3909520,5600,PIV,1250,1350,1300,V,V,VII,V,V,35.32490611,-110.0148638
4,NA820,Awat Yello,AZJ00101,12,565250,3953400,6400,PIV,1300,1400,1350,V,V,VII,V,V,35.72240788,-110.2785526
5,NA1019,Kokopyama,AZJ00601,12,579250,3959900,6400,PIV,1275,1400,1338,V,V,VII,V,V,35.77997957,-110.1231315
6,NA1001,Kawaika'a,AZJ00501,12,570500,3955600,6400,PIV,1250,1500,1375,V,V,VII,V,V,35.74188001,-110.2203165
7,AZ:J:4:1,Pink Arrow,AZJ01001,12,576750,3959250,6400,PIV,1275,1400,1338,V,V,VII,V,V,35.77431814,-110.1508525
8,NA659,Chavez Pas,AZ002801,12,486700,3848300,6600,PIV,1250,1400,1325,IV,IV,VI,IV,IV,34.77678998,-111.1453571
9,NA952,Homolovi I,AZJ14:3,12,530750,3877100,4860,PIV,1285,1390,1338,V,V,VII,V,V,35.03611474,-110.6628723
10,NA953,Homolovi 2,AZJ14:1,12,532610,3882350,4935,PIV,1350,1400,1375,V,V,VII,V,V,35.08339655,-110.6422741
11,,Homolovi,,12,532610,3882350,4935,PIV,1350,1400,1375,V,V,VII,V,V,35.08339655,-110.6422741
12,,Homolovi 3,AZJ14:14,12,529400,3883260,4820,PIV,1285,1375,1330,V,V,VII,V,V,35.09170093,-110.6774544
13,,Homolovi 4,AZJ14:13,12,528660,3884290,4870,PIV,1260,1285,1273,IV,IV,VI,IV,IV,35.10100993,-110.6855371
14,NA 1003,Showlow,AZP01101,12,589240,3791400,6300,PIV,1325,1400,1363,V,V,VII,V,V,34.25991127,-110.0307084
15,NA 3348,Kinishba,AZV02501,12,587540,3741820,5500,PIV,1200,1400,1300,V,V,VII,V,V,33.81296192,-110.0541467
16,AZV:2:1,CanyCreek,AZV00101,12,531677,3758289,5800,PIV,1325,1425,1375,V,V,VII,V,V,33.96464635,-110.6571244
17,NA4568,FourMile,AZPO1301,12,579500,3813700,5800,PIV,1100,1400,1325,IV,IV,VI,IV,IV,34.46178924,-110.1344242
18,LA416,PotteryMou,,13,322854,3846735,5000,PIV,1300,1450,1375,V,V,VII,V,V,34.74738399,-106.9352318
19,NA814,Sikyatki,AZJ3:1,12,556820,3968620,6200,,1275,1530,1403,V,V,VIII,VI,VI,35.86014972,-110.3706739
20,NA9584,Rye Creek,AZO:15:1,12,467680,3770560,3000,,1320,1450,1385,V,V,VII,V,V,34.07529551,-111.3502897
21,,Iron Rock,AZO:5:18,12,417212,3847844,3900,,1300,1425,1363,V,V,VII,V,V,34.76940319,-111.9047053
22,NA785,Tonto,AZU00101,12,489280,3722540,3200,,1350,1450,1400,V,V,VII,V,V,33.64264224,-111.115601
23,NA1261,Tuzigoot,AZN00101,12,406100,3847700,3360,PIV,1200,1400,1300,,,,,,34.76714203,-112.0261047
24,NA1629,Kinnikinni,AZ002901,12,476360,3860300,6800,PIII,1250,1385,1318,V,V,VII,V,V,34.88481382,-111.2587015
25,NA1015,Kintiel,AZKO1301,12,636200,3920100,6200,PIII,1150,1300,1225,IV,IV,VI,IV,IV,35.41500045,-109.4998675
26,NA1026,Chevelon,AZP:2:11,12,544150,3866880,4940,,1280,1400,1340,V,V,VII,V,V,34.94346253,-110.5165075
27,NA1269,IndianDome,AZO:5:16,12,416229,3839754,3500,,1300,1425,1363,V,V,VII,V,V,34.69637792,-111.9146422
28,,ClinesTerr,AZU:4:33,12,477453,3736696,2180,,1320,1450,1385,V,V,VII,V,V,33.770134,-111.2434988
29,,North,AZO:5:1,12,415206,3842584,3531,,1300,1425,1363,V,V,VII,V,V,34.72181082,-111.9260948
30,,Limestone,AZO:5:19,12,416500,3839625,3300,,1300,1425,1363,V,V,VII,V,V,34.69523693,-111.9116709
31,NA8004,Wupatki,AZI07701,12,466290,3930720,4900,PIII,1100,1215,1158,IV,IV,V,IV,IV,35.5195031,-111.3717821
32,NA2160,Inscriptio,AZD00101,12,516120,4058100,5600,,1200,1300,1250,IV,IV,VI,IV,IV,36.66837217,-110.8196082
33,NA11296,Rainbow568,,12,560785,4064850,5800,,1200,1275,1238,IV,IV,VI,IV,IV,36.72741257,-110.3192657
34,NA4428,Pt of Pine,AZW00401,12,617350,3690920,5900,PIII,1270,1300,1285,IV,IV,VI,IV,IV,33.35108969,-109.7388107
